,Green Waste,Yellow Waste,Red Waste,Disposed Waste,Progress
0,10,10,10,0,0.0
1,10,10,10,0,0.0
2,10,10,10,0,0.0
3,10,10,10,0,0.0
4,10,10,10,0,0.0
5,10,10,10,0,0.0
6,10,10,10,0,0.0
7,10,10,10,0,0.0
8,10,10,10,0,0.0
9,10,10,10,0,0.0
10,8,11,10,0,0.0
11,8,11,10,0,0.0
12,8,11,10,0,0.0
13,8,11,10,0,0.0
14,8,11,10,0,0.0
15,8,11,10,0,0.0
16,8,11,10,0,0.0
17,8,11,10,0,0.0
18,8,11,10,0,0.0
19,8,11,10,0,0.0
20,8,11,10,0,0.0
21,8,11,10,0,0.0
22,8,11,10,0,0.0
23,8,11,10,0,0.0
24,8,11,10,0,0.0
25,6,12,10,0,0.0
26,6,12,10,0,0.0
27,6,12,10,0,0.0
28,4,13,10,0,0.0
29,4,13,10,0,0.0
30,4,13,10,0,0.0
31,4,13,10,0,0.0
32,4,13,10,0,0.0
33,4,13,10,0,0.0
34,4,13,10,0,0.0
35,4,13,10,0,0.0
36,4,13,10,0,0.0
37,4,13,10,0,0.0
38,4,13,10,0,0.0
39,4,13,10,0,0.0
40,4,13,10,0,0.0
41,4,13,10,0,0.0
42,4,13,10,0,0.0
43,4,13,10,0,0.0
44,4,13,10,0,0.0
45,4,13,10,0,0.0
46,4,13,10,0,0.0
47,4,13,10,0,0.0
48,4,13,10,0,0.0
49,4,13,10,0,0.0
50,4,13,10,0,0.0
51,4,13,10,0,0.0
52,4,13,10,0,0.0
53,4,13,10,0,0.0
54,4,13,10,0,0.0
55,4,13,10,0,0.0
56,4,13,10,0,0.0
57,4,13,10,0,0.0
58,4,13,10,0,0.0
59,4,13,10,0,0.0
60,4,13,10,0,0.0
61,4,13,10,0,0.0
62,4,13,10,0,0.0
63,4,13,10,0,0.0
64,4,13,10,0,0.0
65,4,13,10,0,0.0
66,4,13,10,0,0.0
67,4,13,10,0,0.0
68,4,13,10,0,0.0
69,4,13,10,0,0.0
70,4,13,10,0,0.0
71,4,13,10,0,0.0
72,4,13,10,0,0.0
73,4,13,10,0,0.0
74,4,13,10,0,0.0
75,4,13,10,0,0.0
76,4,11,11,0,0.0
77,4,11,11,0,0.0
78,4,11,11,0,0.0
79,4,11,11,0,0.0
80,4,11,11,0,0.0
81,4,11,11,0,0.0
82,4,11,11,0,0.0
83,4,11,11,0,0.0
84,4,11,11,0,0.0
85,4,11,11,0,0.0
86,4,11,11,0,0.0
87,4,11,11,0,0.0
88,4,11,11,0,0.0
89,4,11,11,0,0.0
90,4,11,11,0,0.0
91,4,11,11,0,0.0
92,4,11,11,0,0.0
93,4,11,11,0,0.0
