Step,AgentID,Color,Transporting,Position
0,1120,green,[],"(6, 8)"
0,1121,green,[],"(6, 21)"
0,1122,green,[],"(3, 30)"
0,1123,green,[],"(5, 21)"
0,1124,green,[],"(8, 24)"
0,1125,yellow,[],"(13, 26)"
0,1126,yellow,[],"(11, 16)"
0,1127,yellow,[],"(15, 30)"
0,1128,yellow,[],"(16, 10)"
0,1129,yellow,[],"(20, 24)"
0,1130,red,[],"(30, 27)"
0,1131,red,[],"(23, 23)"
0,1132,red,[],"(26, 11)"
0,1133,red,[],"(27, 31)"
0,1134,red,[],"(25, 16)"
1,1120,green,[],"(7, 8)"
1,1121,green,[],"(7, 22)"
1,1122,green,[],"(4, 31)"
1,1123,green,[],"(5, 22)"
1,1124,green,[],"(7, 23)"
1,1125,yellow,[],"(12, 26)"
1,1126,yellow,[],"(10, 16)"
1,1127,yellow,[],"(14, 30)"
1,1128,yellow,[],"(15, 10)"
1,1129,yellow,[],"(19, 24)"
1,1130,red,[],"(29, 27)"
1,1131,red,[],"(22, 23)"
1,1132,red,[],"(25, 11)"
1,1133,red,[],"(26, 31)"
1,1134,red,[],"(24, 16)"
2,1120,green,[],"(6, 7)"
2,1121,green,[],"(6, 23)"
2,1122,green,[],"(5, 30)"
2,1123,green,[],"(6, 22)"
2,1124,green,[],"(8, 22)"
2,1125,yellow,[],"(11, 26)"
2,1126,yellow,[],"(10, 15)"
2,1127,yellow,[],"(13, 30)"
2,1128,yellow,[],"(14, 10)"
2,1129,yellow,[],"(18, 24)"
2,1130,red,[],"(28, 27)"
2,1131,red,[],"(21, 23)"
2,1132,red,[],"(24, 11)"
2,1133,red,[],"(25, 31)"
2,1134,red,[],"(23, 16)"
3,1120,green,[],"(7, 6)"
3,1121,green,[],"(7, 24)"
3,1122,green,[],"(6, 31)"
3,1123,green,[],"(7, 21)"
3,1124,green,[],"(7, 21)"
3,1125,yellow,[],"(10, 26)"
3,1126,yellow,[],"(10, 16)"
3,1127,yellow,[],"(12, 30)"
3,1128,yellow,[],"(13, 10)"
3,1129,yellow,[],"(17, 24)"
3,1130,red,[],"(27, 27)"
3,1131,red,[],"(21, 22)"
3,1132,red,[],"(23, 11)"
3,1133,red,[],"(24, 31)"
3,1134,red,[],"(22, 16)"
4,1120,green,[],"(6, 5)"
4,1121,green,[],"(6, 25)"
4,1122,green,[],"(7, 30)"
