,Green Waste,Yellow Waste,Red Waste,Disposed Waste,Progress
0,10,10,10,0,0.0
1,10,10,10,0,0.0
2,10,10,10,0,0.0
3,10,10,10,0,0.0
4,10,10,10,0,0.0
5,10,10,10,0,0.0
6,10,10,10,0,0.0
7,10,10,10,0,0.0
8,10,10,10,0,0.0
9,10,10,10,0,0.0
10,10,10,10,0,0.0
11,10,10,10,0,0.0
12,10,10,10,0,0.0
13,8,11,10,0,0.0
14,8,11,10,0,0.0
15,8,11,10,0,0.0
16,8,11,10,0,0.0
17,8,11,10,0,0.0
18,8,11,10,0,0.0
19,8,11,10,0,0.0
20,8,11,10,0,0.0
21,8,11,10,0,0.0
22,8,11,10,0,0.0
23,8,11,10,0,0.0
24,4,13,10,0,0.0
25,4,13,10,0,0.0
26,4,13,10,0,0.0
27,4,13,10,0,0.0
28,4,13,10,0,0.0
29,4,13,10,0,0.0
30,4,13,10,0,0.0
31,4,13,10,0,0.0
32,4,13,10,0,0.0
33,4,13,10,0,0.0
34,4,13,10,0,0.0
35,4,13,10,0,0.0
36,4,13,10,0,0.0
37,4,13,10,0,0.0
38,4,13,10,0,0.0
39,4,13,10,0,0.0
40,4,13,10,0,0.0
41,4,13,10,0,0.0
42,4,13,10,0,0.0
43,4,13,10,0,0.0
44,4,13,10,0,0.0
45,4,13,10,0,0.0
46,4,13,10,0,0.0
47,4,13,10,0,0.0
48,4,13,10,0,0.0
49,4,13,10,0,0.0
50,4,13,10,0,0.0
51,4,13,10,0,0.0
52,4,13,10,0,0.0
53,4,13,10,0,0.0
54,4,13,10,0,0.0
55,4,13,10,0,0.0
56,4,13,10,0,0.0
57,4,13,10,0,0.0
58,4,13,10,0,0.0
59,4,13,10,0,0.0
60,4,13,10,0,0.0
61,4,13,10,0,0.0
62,4,13,10,0,0.0
63,4,13,10,0,0.0
64,4,13,10,0,0.0
65,4,13,10,0,0.0
66,4,13,10,0,0.0
67,4,13,10,0,0.0
68,2,14,10,0,0.0
69,2,14,10,0,0.0
70,2,14,10,0,0.0
71,2,14,10,0,0.0
72,2,14,10,0,0.0
73,2,14,10,0,0.0
74,2,14,10,0,0.0
75,2,14,10,0,0.0
76,2,14,10,0,0.0
77,2,14,10,0,0.0
78,2,14,10,0,0.0
79,2,14,10,0,0.0
80,2,14,10,0,0.0
81,2,14,10,0,0.0
82,2,14,10,0,0.0
83,2,14,10,0,0.0
84,2,14,10,0,0.0
85,2,14,10,0,0.0
86,2,14,10,0,0.0
87,2,14,10,0,0.0
88,2,14,10,0,0.0
89,2,14,10,0,0.0
90,2,14,10,0,0.0
91,2,14,10,0,0.0
92,2,14,10,0,0.0
93,2,14,10,0,0.0
