Step,AgentID,Color,Transporting,Position
0,1120,green,[],"(3, 17)"
0,1121,green,[],"(8, 23)"
0,1122,green,[],"(9, 23)"
0,1123,green,[],"(6, 2)"
0,1124,green,[],"(1, 28)"
0,1125,yellow,[],"(14, 7)"
0,1126,yellow,[],"(16, 13)"
0,1127,yellow,[],"(14, 27)"
0,1128,yellow,[],"(16, 10)"
0,1129,yellow,[],"(15, 11)"
0,1130,red,[],"(23, 26)"
0,1131,red,[],"(22, 11)"
0,1132,red,[],"(23, 23)"
0,1133,red,[],"(29, 17)"
0,1134,red,[],"(31, 24)"
1,1120,green,[],"(3, 18)"
1,1121,green,[],"(9, 24)"
1,1122,green,[],"(9, 22)"
1,1123,green,[1093],"(5, 3)"
1,1124,green,[],"(1, 27)"
1,1125,yellow,[],"(13, 7)"
1,1126,yellow,[],"(15, 13)"
1,1127,yellow,[],"(13, 27)"
1,1128,yellow,[],"(15, 10)"
1,1129,yellow,[],"(14, 11)"
1,1130,red,[],"(22, 26)"
1,1131,red,[],"(21, 11)"
1,1132,red,[],"(22, 23)"
1,1133,red,[],"(28, 17)"
1,1134,red,[],"(30, 24)"
2,1120,green,[],"(3, 17)"
2,1121,green,[],"(8, 25)"
2,1122,green,[],"(8, 22)"
2,1123,green,[1093],"(4, 2)"
2,1124,green,[],"(0, 26)"
2,1125,yellow,[],"(12, 7)"
2,1126,yellow,[],"(14, 13)"
2,1127,yellow,[],"(12, 27)"
2,1128,yellow,[],"(14, 10)"
2,1129,yellow,[],"(13, 11)"
2,1130,red,[],"(21, 26)"
2,1131,red,[],"(21, 12)"
2,1132,red,[],"(21, 23)"
2,1133,red,[],"(27, 17)"
2,1134,red,[],"(29, 24)"
3,1120,green,[],"(2, 18)"
3,1121,green,[],"(9, 26)"
3,1122,green,[],"(7, 23)"
3,1123,green,[1093],"(3, 3)"
3,1124,green,[],"(1, 25)"
3,1125,yellow,[],"(11, 7)"
3,1126,yellow,[],"(13, 13)"
3,1127,yellow,[],"(11, 27)"
3,1128,yellow,[],"(13, 10)"
3,1129,yellow,[],"(12, 11)"
3,1130,red,[],"(21, 27)"
3,1131,red,[],"(21, 11)"
3,1132,red,[],"(21, 24)"
3,1133,red,[],"(26, 17)"
3,1134,red,[],"(28, 24)"
4,1120,green,[],"(1, 17)"
4,1121,green,[],"(8, 27)"
4,1122,green,[],"(6, 22)"
4,1123,green,[1093],"(2, 2)"
4,1124,green,[],"(2, 25)"
4,1125,yellow,[],"(10, 7)"
4,1126,yellow,[],"(12, 13)"
4,1127,yellow,[],"(10, 27)"
4,1128,yellow,[],"(12, 10)"
4,1129,yellow,[],"(11, 11)"
4,1130,red,[],"(21, 28)"
4,1131,red,[],"(21, 12)"
4,1132,red,[],"(21, 25)"
4,1133,red,[],"(25, 17)"
4,1134,red,[],"(27, 24)"
5,1120,green,[],"(0, 18)"
5,1121,green,[],"(9, 28)"
5,1122,green,[],"(5, 23)"
5,1123,green,[1093],"(1, 3)"
5,1124,green,[],"(3, 26)"
5,1125,yellow,[],"(10, 8)"
5,1126,yellow,[],"(11, 13)"
5,1127,yellow,[],"(10, 28)"
5,1128,yellow,[],"(11, 10)"
5,1129,yellow,[],"(10, 11)"
5,1130,red,[],"(21, 27)"
5,1131,red,[],"(21, 13)"
5,1132,red,[],"(21, 24)"
5,1133,red,[],"(24, 17)"
5,1134,red,[],"(26, 24)"
6,1120,green,[],"(1, 18)"
6,1121,green,[],"(8, 29)"
6,1122,green,[],"(4, 22)"
6,1123,green,[1093],"(0, 2)"
6,1124,green,[],"(4, 27)"
6,1125,yellow,[],"(10, 9)"
6,1126,yellow,[],"(10, 13)"
6,1127,yellow,[],"(10, 27)"
6,1128,yellow,[],"(10, 10)"
6,1129,yellow,[],"(10, 12)"
6,1130,red,[],"(21, 26)"
6,1131,red,[],"(21, 14)"
6,1132,red,[],"(21, 25)"
6,1133,red,[],"(23, 17)"
6,1134,red,[],"(25, 24)"
7,1120,green,[],"(1, 19)"
7,1121,green,[],"(9, 30)"
7,1122,green,[],"(3, 23)"
7,1123,green,[1093],"(0, 1)"
7,1124,green,[1090],"(5, 28)"
7,1125,yellow,[],"(10, 10)"
7,1126,yellow,[],"(10, 12)"
7,1127,yellow,[],"(10, 28)"
7,1128,yellow,[],"(10, 9)"
7,1129,yellow,[],"(10, 11)"
7,1130,red,[],"(21, 27)"
7,1131,red,[],"(21, 15)"
7,1132,red,[],"(21, 24)"
7,1133,red,[],"(22, 17)"
7,1134,red,[],"(24, 24)"
8,1120,green,[],"(2, 20)"
8,1121,green,[],"(8, 31)"
8,1122,green,[],"(2, 22)"
8,1123,green,[1093],"(1, 0)"
8,1124,green,[1090],"(4, 29)"
8,1125,yellow,[],"(10, 9)"
8,1126,yellow,[],"(10, 11)"
8,1127,yellow,[],"(10, 29)"
8,1128,yellow,[],"(10, 10)"
8,1129,yellow,[],"(10, 10)"
8,1130,red,[],"(21, 26)"
8,1131,red,[],"(21, 14)"
8,1132,red,[],"(21, 23)"
8,1133,red,[],"(21, 17)"
8,1134,red,[],"(23, 24)"
9,1120,green,[1092],"(2, 21)"
9,1121,green,[],"(9, 32)"
9,1122,green,[],"(1, 23)"
9,1123,green,[1093],"(2, 0)"
9,1124,green,[1090],"(5, 30)"
9,1125,yellow,[],"(10, 8)"
9,1126,yellow,[],"(10, 12)"
9,1127,yellow,[],"(10, 30)"
9,1128,yellow,[],"(10, 9)"
9,1129,yellow,[],"(10, 9)"
9,1130,red,[],"(21, 27)"
9,1131,red,[],"(21, 13)"
9,1132,red,[],"(21, 22)"
9,1133,red,[],"(21, 18)"
9,1134,red,[],"(22, 24)"
10,1120,green,[1092],"(3, 21)"
10,1121,green,[],"(8, 32)"
10,1122,green,[],"(0, 22)"
10,1123,green,[1093],"(3, 0)"
10,1124,green,[1090],"(4, 31)"
10,1125,yellow,[],"(10, 9)"
10,1126,yellow,[],"(10, 13)"
10,1127,yellow,[],"(10, 29)"
10,1128,yellow,[],"(10, 8)"
10,1129,yellow,[],"(10, 10)"
10,1130,red,[],"(21, 26)"
10,1131,red,[],"(21, 12)"
10,1132,red,[],"(21, 21)"
10,1133,red,[],"(21, 17)"
10,1134,red,[],"(21, 24)"
11,1120,green,[1092],"(4, 20)"
11,1121,green,[],"(9, 31)"
11,1122,green,[],"(1, 22)"
11,1123,green,[1093],"(4, 0)"
11,1124,green,[1090],"(3, 30)"
11,1125,yellow,[],"(10, 8)"
11,1126,yellow,[],"(10, 12)"
11,1127,yellow,[],"(10, 28)"
11,1128,yellow,[],"(10, 7)"
11,1129,yellow,[],"(10, 11)"
11,1130,red,[],"(21, 27)"
11,1131,red,[],"(21, 11)"
11,1132,red,[],"(21, 22)"
11,1133,red,[],"(21, 18)"
11,1134,red,[],"(21, 23)"
12,1120,green,[1092],"(5, 19)"
12,1121,green,[],"(8, 32)"
12,1122,green,[],"(2, 23)"
12,1123,green,[1093],"(5, 0)"
12,1124,green,[1090],"(2, 31)"
12,1125,yellow,[],"(10, 7)"
12,1126,yellow,[],"(10, 11)"
12,1127,yellow,[],"(10, 27)"
12,1128,yellow,[],"(10, 6)"
12,1129,yellow,[],"(10, 12)"
12,1130,red,[],"(21, 26)"
12,1131,red,[],"(21, 10)"
12,1132,red,[],"(21, 21)"
12,1133,red,[],"(21, 19)"
12,1134,red,[],"(21, 22)"
13,1120,green,[1092],"(5, 18)"
13,1121,green,[],"(7, 32)"
13,1122,green,[],"(2, 22)"
13,1123,green,[1093],"(6, 0)"
13,1124,green,[1090],"(2, 32)"
13,1125,yellow,[],"(10, 8)"
13,1126,yellow,[],"(10, 10)"
13,1127,yellow,[],"(10, 28)"
13,1128,yellow,[],"(10, 5)"
13,1129,yellow,[],"(10, 13)"
13,1130,red,[],"(21, 25)"
